,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2485,Pocket Skate,Rad Skating Action‪!‬,Peter Leary,#18 in Sports,4+,4.1,Free,30 Ratings,,154.9 MB,,,,,,
2486,DiveChamp2,The ultimate diving game‪!‬,Jean-Baptiste Bolcato,#51 in Sports,4+,4.7,Free,54 Ratings,,128.1 MB,,,,,,
2487,Boxing Manager,The #1 Boxing Game of all time,Sport and Financial Limited,#23 in Sports,12+,4.7,Free,2.2K Ratings,,66.5 MB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Simulated Gambling,,,,
2488,Football Manager 2023 Mobile,#1 mobile management game,Sega America,#3 in Sports,4+,4.8,Free,659 Ratings,,1.3 GB,,,,,,
2489,Alto's Adventure,A serene snowboarding odyssey,Snowman,#4 in Sports,9+,4.6,Free,1.9K Ratings,Offers In-App Purchases,234.6 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
2490,Golf On Mars,Could there be golf on Mars‪?‬,Captain Games Inc.,#74 in Sports,4+,4.3,Free,158 Ratings,,2 MB,,,,,,
2491,Football Strike,Multiplayer Soccer,Miniclip SA,#24 in Sports,4+,4.7,$5.99,330.1K Ratings,,203.4 MB,,,,,,
2492,OK Golf,Golf on the go‪!‬,Okidokico Entertainment Inc.,#53 in Sports,4+,3.9,$0.99,238 Ratings,,589.5 MB,,,,,,
2493,Car Driving School Simulator,Learn to Drive the Fun Way,"BoomBit, Inc.",#21 in Racing,12+,4.5,Free,21.6K Ratings,Offers In-App Purchases,378.3 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
2494,Arcade Hoops Basketball‪™‬,,Skyworks Interactive Corp.,#96 in Sports,9+,4.3,Free,63 Ratings,Offers In-App Purchases,19.1 MB,Infrequent/Mild Horror/Fear Themes,,,,,
2495,Car Driving: 3d Car Games,Extreme Real Car Simulator,Arham Ehtasham,#82 in Racing,4+,4.4,$6.99,1.5K Ratings,,411.8 MB,,,,,,
2496,Alto's Odyssey,Discover the endless desert,Snowman,#5 in Sports,9+,4.4,Free,2.8K Ratings,Offers In-App Purchases,218.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
2497,HB2 PLUS,,Com2uS Corp.,#84 in Sports,4+,4.3,$0.99,898 Ratings,Offers In-App Purchases,57.2 MB,,,,,,
2498,LEATHER‪®‬,Tactical Boxing Management,Studio Industrial Ltd,#85 in Sports,4+,4.8,$2.99,118 Ratings,,163.8 MB,,,,,,
2499,Battle Disc,Best Disc Throwing game,SayGames LTD,#54 in Sports,12+,4.7,$0.99,217.9K Ratings,,296.6 MB,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence
2500,URS - Car Driving Games 2022,Car Driving & Racing & Parking,Muhammad Aslam,#59 in Racing,9+,2,Free,125 Ratings,Offers In-App Purchases,201 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
2501,Basketball Club Story,,"Kairosoft Co.,Ltd",#28 in Sports,4+,4.7,$0.99,125 Ratings,,277.6 MB,,,,,,
2502,Axis Football Classic,,"Axis Games, Inc.",#99 in Sports,12+,3.4,$3.99,2.3K Ratings,,561 MB,Infrequent/Mild Realistic Violence,,,,,
2503,Asphalt 8: Airborne,Car Race Simulator,Gameloft,#62 in Racing,12+,4.7,Free,12.9K Ratings,,3.6 GB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
