,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
894,Heads Up: Hold'em  (1-on-1 Poker‪)‬,,"Headlight Software, Inc.",#76 in Casino,17+,2.9,Free,25 Ratings,Offers In-App Purchases,23 MB,Frequent/Intense Simulated Gambling,,,,,
895,Ignite Classic Slots-Casino,Real Vegas Casino Slot Games,"Mobee Co., Ltd.",#58 in Casino,17+,4.7,Free,21K Ratings,,242.3 MB,Frequent/Intense Simulated Gambling,,,,,
896,Sex Dice 3D -Love game‪-‬,,Gregory BAL,#74 in Casino,17+,2.8,Free,6 Ratings,,29.6 MB,Frequent/Intense Sexual Content or Nudity,,,,,
897,Club Vegas Slots - VIP Casino,Play Live Slot Machines 777,"Bagelcode, Inc.",#56 in Casino,17+,4.8,Free,74K Ratings,,318.9 MB,Gambling,Frequent/Intense Simulated Gambling,Frequent/Intense Contests,,,
898,Aw Craps‪!‬,,24x7digital LLC,#4 in Casino,17+,3.6,$4.99,142 Ratings,,25.1 MB,Frequent/Intense Simulated Gambling,,,,,
899,Blackjack Strategy‪+‬,Learn basic strategy,bpm apps LLC,#86 in Casino,17+,4.5,Free,40 Ratings,Offers In-App Purchases,1.4 MB,Frequent/Intense Simulated Gambling,,,,,
900,Big Bang Trivia,Big Bang Trivia. Bazinga‪!‬,Wirescape Studios LLC,#42 in Trivia,12+,4.9,Free,9 Ratings,Offers In-App Purchases,480.8 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Simulated Gambling,,,,
901,Backgammon HD,Play Online with Friends‪!‬,WildCard Classics Inc,#28 in Casino,4+,4.6,$5.99,2.5K Ratings,,120.5 MB,,,,,,
902,Cashman Casino Las Vegas Slots,Best Online Slot Machines Game,"Product Madness, Inc",#20 in Casino,17+,4.6,$3.99,163.7K Ratings,,327.2 MB,Frequent/Intense Simulated Gambling,,,,,
903,Coin Dozer,"Win $4,600 Every Week",Game Circus LLC,#25 in Casino,17+,4.6,Free,84.8K Ratings,,317.7 MB,Frequent/Intense Simulated Gambling,,,,,
904,BVS Solitaire Collection,The Best Solitaire Collection,BVS Development Corporation,#94 in Casino,4+,4.7,$0.99,324 Ratings,,50.1 MB,,,,,,
905,Pine Tar Poker,Sinister Poker,BJ Malicoat,#16 in Casino,9+,5,$4.99,24 Ratings,,177.6 MB,Infrequent/Mild Horror/Fear Themes,,,,,
906,Bingo Tour: Win Real Cash,Skill-based Bingo Game,Aviagames Inc.,#7 in Casino,17+,4.9,$2.99,71.3K Ratings,,292.4 MB,Gambling,Frequent/Intense Contests,,,,
907,Texas Tea,,"Snakehead Software, LLC",#90 in Casino,4+,3.5,Free,10 Ratings,Offers In-App Purchases,15 MB,,,,,,
908,FreeCell,,Mobilityware,#18 in Casino,4+,4.8,Free,18.9K Ratings,,233.8 MB,,,,,,
909,Classic Slots™ - Casino Games,Spin 777 Slots Machine Games,Slots Limited,#45 in Casino,17+,4.9,$2.99,276.7K Ratings,,280.6 MB,Frequent/Intense Simulated Gambling,,,,,
910,FanDuel Casino - Real Money,"Slots, Blackjack & Roulette",FanDuel Limited,#27 in Casino,17+,4.8,$1.99,36.1K Ratings,,132.6 MB,Frequent/Intense Contests,Frequent/Intense Simulated Gambling,Gambling,,,
911,BlackJack Teacher Pro (21 Pro‪)‬,Learn Card Counting like a Pro,Pepper Dog Soft LLC,#62 in Casino,17+,5,$4.99,2 Ratings,,17.1 MB,Frequent/Intense Simulated Gambling,,,,,
912,Video Poker Pay Tables,,"Action Gaming, Inc.",#46 in Casino,17+,3.3,Free,7 Ratings,,185.2 MB,Frequent/Intense Simulated Gambling,,,,,
913,Spider Solitaire MobilityWare,,Mobilityware,#35 in Casino,4+,4.8,$0.99,34.8K Ratings,,215.1 MB,,,,,,
914,Backgammon Pro,,Optime Software LLC,#13 in Casino,4+,4.5,Free,2.7K Ratings,,134.1 MB,,,,,,
915,Learn Craps Yo,,"Craps Education, LLC",#67 in Casino,17+,3.4,Free,9 Ratings,,37.9 MB,Frequent/Intense Simulated Gambling,,,,,
916,Gold Fish Casino Slot Games,Online Slot Machines: Mega Win,"Phantom EFX, Inc.",#51 in Casino,17+,4.8,Free,290.1K Ratings,,214.3 MB,Frequent/Intense Contests,Gambling,Frequent/Intense Simulated Gambling,,,
917,Casino Roulette: Roulettist,#1 Roulette,KamaGames,#83 in Casino,17+,4.7,Free,16.1K Ratings,,283.4 MB,Frequent/Intense Simulated Gambling,,,,,
918,Cash Craze,Slots Casino,Casual Joy Limited,#89 in Casino,17+,4.9,Free,1.7K Ratings,,358.3 MB,Frequent/Intense Simulated Gambling,Gambling,,,,
919,Tap Roulette PRO: Shocking Zap,Shock Friend Finger Tap Game‪!‬,Lucas Yamashita,#22 in Casino,4+,3,Free,4 Ratings,,38 MB,,,,,,
920,PokerTimer Professional,Tournament Poker Blind Manager,Birdsoft LLC,#69 in Casino,4+,4.7,Free,18 Ratings,,4.8 MB,,,,,,
921,Solitaire Smash: Win Cash,Skill-based Solitaire,"Appsolyut,tov",#74 in Casino,17+,4.8,Free,2.5K Ratings,Offers In-App Purchases,231.9 MB,Gambling,Frequent/Intense Contests,,,,
922,BetRivers Sportsbook & Casino,"Sports betting, slots & 21",Rush Street Interactive LLC,#72 in Casino,17+,4.4,Free,88 Ratings,Offers In-App Purchases,75.6 MB,Frequent/Intense Simulated Gambling,Gambling,,,,
923,Jackpot Magic Slots™ & Casino,Play slot machine games & more,"Big Fish Games, Inc",#90 in Casino,17+,4.6,Free,198.7K Ratings,Offers In-App Purchases,139.6 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Mature/Suggestive Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References"
924,Offline Poker - Texas Holdem,No-Wait No-Limit Poker,"The Othernet, LLC",#71 in Casino,17+,4.5,Free,6.4K Ratings,Offers In-App Purchases,207.3 MB,Frequent/Intense Simulated Gambling,,,,,
925,DoubleDown™ Casino -Slots Game,Real Vegas Slot Machine Games,Double Down Interactive LLC,#21 in Casino,17+,4.6,Free,548.9K Ratings,Offers In-App Purchases,117.8 MB,Frequent/Intense Simulated Gambling,,,,,
926,Vegas Slots - 7Heart Casino,Slot Machines & 777 Slots Game,"Phonato Studios, Inc.",#94 in Casino,17+,4.9,Free,63.4K Ratings,Offers In-App Purchases,217.1 MB,Frequent/Intense Simulated Gambling,,,,,
927,The Price Is Right: Bingo‪!‬,,Clipwire Games Inc.,#60 in Casino,17+,4.9,Free,879 Ratings,Offers In-App Purchases,201 MB,Frequent/Intense Simulated Gambling,,,,,
928,Microsoft Solitaire Collection,Play Classic Solitaire Games‪!‬,Microsoft Corporation,#93 in Casino,4+,4.7,Free,177.3K Ratings,,180.2 MB,,,,,,
929,Jackpot Party - Casino Slots,Las Vegas Games: Slot Machines,"Phantom EFX, Inc.",#29 in Casino,17+,4.5,$1.99,173.8K Ratings,,220 MB,Frequent/Intense Simulated Gambling,,,,,
930,Words to Win: Earn Money Game,Play Cash Games & Word Connect,Rewardify Inc.,#34 in Casino,17+,4.5,$0.99,42.5K Ratings,,361 MB,Frequent/Intense Contests,Gambling,Frequent/Intense Simulated Gambling,,,
931,myVEGAS Slots – Casino Slots,Las Vegas Casino Slot Machines,"Playstudios, Inc.",#58 in Casino,17+,4.6,Free,172.4K Ratings,Offers In-App Purchases,210.7 MB,Frequent/Intense Simulated Gambling,,,,,
932,"Skill Cash: Solitaire, Match 3",Use Skills to Win Real Money,Winkel Limited,#82 in Casino,17+,3.7,$0.99,66 Ratings,,187.4 MB,Frequent/Intense Contests,Gambling,,,,
933,Pokernut Tournament Timer,Texas Hold'em Poker Timer,Toby Ambrose,#93 in Casino,12+,3.8,Free,4 Ratings,,57.1 MB,Infrequent/Mild Simulated Gambling,,,,,
934,Poker Odds‪+‬,Texas Holdem tools for pros,SHARKFACEPOKER LLC,#66 in Casino,17+,4.3,Free,3 Ratings,,24.9 MB,Frequent/Intense Simulated Gambling,,,,,
935,Blackjack 21: Blackjackist,#1 Blackjack,KamaGames,#42 in Casino,17+,4.7,Free,92.7K Ratings,Offers In-App Purchases,306.5 MB,Frequent/Intense Simulated Gambling,,,,,
936,Custom Prize Wheel,,Bandago LLC.,#98 in Casino,12+,1.9,Free,8 Ratings,,55.9 MB,Infrequent/Mild Simulated Gambling,,,,,
937,BetMGM Online Casino,"Blackjack, Slots, Live Dealers","ROAR Digital, LLC",#36 in Casino,17+,4.7,Free,46.6K Ratings,Offers In-App Purchases,26.9 MB,Frequent/Intense Contests,Gambling,,,,
938,Texas Hold’em,The App Store classic is back‪!‬,Apple Inc.,#47 in Casino,17+,4.7,$2.99,59.3K Ratings,,1.5 GB,Frequent/Intense Simulated Gambling,,,,,
939,Poker Heat: Texas Holdem Poker,VIP Texas Holdem Poker Games,Playtika LTD,#50 in Casino,17+,4.8,Free,99K Ratings,Offers In-App Purchases,234.8 MB,Frequent/Intense Simulated Gambling,,,,,
940,Blitz Games - Win Real Cash,Blackout Solitaire Bingo Tour,VLB,#3 in Casino,17+,4.6,$1.99,88.6K Ratings,,396.7 MB,Frequent/Intense Contests,Frequent/Intense Simulated Gambling,Gambling,,,
941,Lottery Scratchers,Scratch & Win Tickets,App Happy Games LLC,#61 in Casino,17+,4.3,Free,18.4K Ratings,Offers In-App Purchases,185.7 MB,Frequent/Intense Simulated Gambling,,,,,
942,The Poker Calculator,Texas holdem odds casino games,Harold CHATENET,#86 in Casino,4+,4.4,$4.99,21 Ratings,,34.4 MB,,,,,,
943,myKONAMI® Casino Slot Machines,Live Casino Slot Machine Games,"Playstudios, Inc.",#98 in Casino,17+,4.6,Free,235.4K Ratings,,439.2 MB,Frequent/Intense Simulated Gambling,,,,,
944,Fortune Pai Gow,,38 Softworks Inc.,#79 in Casino,17+,4.4,Free,17 Ratings,Offers In-App Purchases,2.9 MB,Frequent/Intense Simulated Gambling,,,,,
945,Hard Rock Jackpot Casino,"Vegas Slots, Keno, Video Poker","Seminole Hard Rock Digital, LLC.",#97 in Casino,17+,4.6,$0.99,29.3K Ratings,,257.9 MB,Frequent/Intense Simulated Gambling,,,,,
946,Slotomania™ Slots Vegas Casino,777 Slots Machine Games,Playtika LTD,#28 in Casino,17+,4.6,$4.99,435.3K Ratings,,288.6 MB,Frequent/Intense Simulated Gambling,,,,,
947,FreeCell ▻ Solitaire ‪+‬,"Best games, classic games :‪)‬","PeopleFun CG, LLC",#23 in Casino,12+,4.8,Free,1.1K Ratings,Offers In-App Purchases,80.3 MB,Infrequent/Mild Simulated Gambling,,,,,
948,Lucky Hit Classic Casino Slots,Deluxe Las Vegas Slot Machine,"GAMINPOWER CO., LIMITED",#99 in Casino,17+,4.7,Free,29.7K Ratings,Offers In-App Purchases,332 MB,Frequent/Intense Simulated Gambling,,,,,
949,Bingo Cash,Online Skill-based Bingo Game,Papaya Gaming LTD,#4 in Casino,17+,4.7,Free,62K Ratings,Offers In-App Purchases,259.3 MB,Frequent/Intense Contests,Gambling,,,,
950,Match To Win: Cash Prizes,Play and Earn Money Rewards,Rewardify Inc.,#14 in Casino,17+,4.5,Free,244.9K Ratings,Offers In-App Purchases,447.3 MB,Frequent/Intense Contests,Gambling,Infrequent/Mild Simulated Gambling,,,
951,Acey-Deucey,,Ventura Educational Systems,#61 in Casino,17+,1,Free,9 Ratings,Offers In-App Purchases,44.1 MB,Frequent/Intense Simulated Gambling,,,,,
952,Spite & Malice HD,Play Spite & Malice online‪!‬,WildCard Classics Inc,#38 in Casino,4+,4.7,Free,2.5K Ratings,,69.9 MB,,,,,,
953,Cash Club Casino - Vegas Slots,Play tournaments and win big‪!‬,SpinX Games Limited,#33 in Casino,17+,4.8,$1.99,2.5K Ratings,,240 MB,Frequent/Intense Simulated Gambling,Gambling,,,,
954,Hard Rock Blackjack & Casino,Las Vegas Online Casino Games,"Seminole Hard Rock Digital, LLC.",#69 in Casino,17+,4.7,$4.99,6.7K Ratings,,331.3 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Simulated Gambling,,,,
955,21 Cash,Skill-based Blitz Card Game,Papaya Gaming LTD,#41 in Casino,17+,4.7,$3.99,11K Ratings,,249.7 MB,Frequent/Intense Contests,Gambling,,,,
956,Win Real Money with Coinnect,Earn Cash Rewards & Gift Cards,2pensmedia Inc.,#89 in Casino,17+,4.6,Free,8.6K Ratings,Offers In-App Purchases,136.3 MB,Gambling,Frequent/Intense Contests,,,,
957,Craps Deluxe,,Lenco Software LLC,#9 in Casino,17+,4.4,$1.99,49 Ratings,,14.3 MB,Frequent/Intense Simulated Gambling,,,,,
958,Vegas Pool Watch,,RESETgame,#26 in Casino,12+,5,Free,1 Rating,,4.8 MB,Infrequent/Mild Simulated Gambling,,,,,
959,Backgammon - Lord of the Board,Play Live Board Games Online,Beach Bum Ltd.,#39 in Casino,17+,4.4,Free,67.1K Ratings,,190 MB,Frequent/Intense Simulated Gambling,,,,,
960,Solitaire ‪Ⓞ‬,Classic Klondike Card Game,ME2ZEN Limited,#72 in Casino,4+,4.7,Free,390.1K Ratings,Offers In-App Purchases,108.9 MB,,,,,,
961,PokerStars Poker Real Money,Texas Holdem and Omaha Games,Stars Mobile Limited,#55 in Casino,17+,4.4,Free,19.9K Ratings,Offers In-App Purchases,248.3 MB,Gambling,Frequent/Intense Contests,Frequent/Intense Simulated Gambling,,,
962,Cash Frenzy™ - Slots Casino,777 Casino Slot Machine Games,SpinX Games Limited,#33 in Casino,17+,4.7,$1.99,256.9K Ratings,,291.4 MB,Frequent/Intense Simulated Gambling,,,,,
963,Spider Solitaire: Card Game,Play Popular Classic Card Game,Mobilityware,#26 in Casino,4+,4.8,Free,645.9K Ratings,Offers In-App Purchases,252.6 MB,,,,,,
964,Solitaire Classic - Klondike‪!‬,Patience Cards Game & Puzzle,Owairakasoft Limited,#44 in Casino,4+,4.6,Free,409 Ratings,Offers In-App Purchases,247.8 MB,,,,,,
965,Lightning Link Casino Slots,Best Vegas Slot Machine Games,"Product Madness, Inc",#30 in Casino,17+,4.3,Free,32.8K Ratings,,289.5 MB,Frequent/Intense Simulated Gambling,,,,,
966,88 Fortunes Slots Casino Games,Real Vegas Online Slot Machine,"Phantom EFX, Inc.",#68 in Casino,17+,4.6,Free,91.5K Ratings,,218.3 MB,Frequent/Intense Simulated Gambling,,,,,
967,MGM Slots Live - Vegas Casino,3D Casino Slot Machines Games,"Playstudios, Inc.",#48 in Casino,17+,5,Free,46.5K Ratings,,192.7 MB,Frequent/Intense Simulated Gambling,Infrequent/Mild Contests,,,,
968,All-In Poker,,Birdsoft LLC,#68 in Casino,17+,3,Free,7 Ratings,,3.6 MB,Frequent/Intense Simulated Gambling,,,,,
969,Lucky Lottery Scratchers,Instant Win Scratch Off Game,41 Games,#22 in Casino,17+,4.7,Free,51.1K Ratings,,229.8 MB,Frequent/Intense Simulated Gambling,,,,,
970,Solitaire by MobilityWare,Play Solitaire with NO ads‪!‬,Mobilityware,#2 in Casino,4+,4.8,Free,116.9K Ratings,,234.5 MB,,,,,,
971,GamePoint Bingo,The #1 multiplayer bingo game,GamePoint B.V.,#66 in Casino,17+,4.7,$4.99,2.1K Ratings,,290.3 MB,Frequent/Intense Simulated Gambling,,,,,
972,Bubble Cube 2: Top Pro Shooter,with Skillz Real Cash Prizes,"Tether Studios, LLC",#99 in Casino,17+,4.8,Free,2.8K Ratings,Offers In-App Purchases,212.7 MB,Frequent/Intense Simulated Gambling,Frequent/Intense Contests,Gambling,,,
973,Solitaire City (Ad Free‪)‬,All Your Fave Solitaire Games‪!‬,Digital Smoke,#10 in Casino,4+,4.6,Free,3.9K Ratings,Offers In-App Purchases,39 MB,,,,,,
974,Double Win Slots Casino Game,Bet Las Vegas Slots Machine,Barns Entertainment Limited,#45 in Casino,17+,4.9,Free,367.4K Ratings,,294.2 MB,Frequent/Intense Simulated Gambling,,,,,
975,Vegas Friends - Casino Slots,"Get 2,000,000 Welcome Bonus‪!‬",SpinX Games Limited,#35 in Casino,17+,4.7,Free,12.5K Ratings,Offers In-App Purchases,395.7 MB,Frequent/Intense Simulated Gambling,,,,,
976,Bingo of Cash: Win Real Money,Real Money Skill Game Live,Pinecone Limited,#53 in Casino,17+,4.3,$2.99,2K Ratings,,195.2 MB,Frequent/Intense Contests,Infrequent/Mild Simulated Gambling,Gambling,,,
977,Live Play Bingo: Real Hosts‪!‬,Win Online Games 24/7 at Home,Live Play Mobile Inc,#46 in Casino,17+,4.8,$3.99,26.2K Ratings,,515.6 MB,Frequent/Intense Simulated Gambling,,,,,
978,Bingo Caller Machine,Bingo caller app with voices‪.‬,App Developers Ltd,#11 in Casino,4+,3.5,Free,8 Ratings,Offers In-App Purchases,32 MB,,,,,,
979,Caesars Slots: Casino Games,777 Vegas Casino & Slots Games,Playtika LTD,#57 in Casino,17+,4.6,$5.99,114K Ratings,Offers In-App Purchases,262.3 MB,Frequent/Intense Simulated Gambling,,,,,
980,Solebon Solitaire - 50 Games,Best Solitaire Card Game,Solebon LLC,#27 in Casino,4+,4.8,$0.99,28.4K Ratings,,176.1 MB,,,,,,
981,Pocket Blackjack,Card,Simon Rybicki,#42 in Casino,4+,,$2.99,,Offers In-App Purchases,2.4 MB,,,,,,
982,Governor of Poker 2 Premium,,Youda Games Holding B.V.,#13 in Casino,17+,4.4,$1.99,2.1K Ratings,,100.1 MB,Frequent/Intense Simulated Gambling,,,,,
983,Jupiter Attack,Best Arcade Shooting Game,RED SPRITE STUDIOS PTY LTD,#15 in Casual,4+,4.6,Free,110 Ratings,Offers In-App Purchases,32.1 MB,,,,,,
984,Stick Hero - Tower Defense,"Evolve stickman, kill Big Boss",ROCKET GO GLOBAL PTE. LTD.,#17 in Strategy,12+,4.4,Free,3.3K Ratings,Offers In-App Purchases,241.9 MB,Infrequent/Mild Sexual Content and Nudity,Frequent/Intense Cartoon or Fantasy Violence,,,,
985,aquapark.io,Best water slide game,Voodoo,#6 in Racing,12+,4.6,Free,2.1M Ratings,Offers In-App Purchases,234.7 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Realistic Violence,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes
986,Paper.io 2,A smooth drawing experience‪!‬,Voodoo,#29 in Casual,12+,4.5,Free,1.4M Ratings,Offers In-App Purchases,336.5 MB,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Simulated Gambling
987,State.io - Conquer the World,War strategy: Epic battle game,AI GAMES FZ LLC,#26 in Strategy,4+,4.5,Free,108.4K Ratings,Offers In-App Purchases,206.3 MB,,,,,,
988,Cooking Madness-Kitchen Frenzy,Cook food in restaurants‪!‬,ZenLife Games Pte. Ltd.,#27 in Strategy,9+,4.8,Free,526.7K Ratings,Offers In-App Purchases,416.9 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Contests,,,,
989,Clean My Carpet - ASMR Washing,Clean the carpets and relax‪!‬,ALICTUS YAZILIM EGITIM BILISIM TEKNOLOJILERI ELEKTRONIK SANAYI VE TICARET A.S.,#38 in Simulation,12+,4.5,Free,3.6K Ratings,Offers In-App Purchases,320.1 MB,Frequent/Intense Profanity or Crude Humor,Infrequent/Mild Cartoon or Fantasy Violence,,,,
990,Beat the Boss 2 (17+‪)‬,,Game Hive Corporation,#51 in Casual,17+,3.1,Free,101 Ratings,,237.2 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Realistic Violence,Frequent/Intense Cartoon or Fantasy Violence,"Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Simulated Gambling,Infrequent/Mild Profanity or Crude Humor
991,Rat On A Scooter XL,,Donut Games,#57 in Family,4+,4.4,Free,100 Ratings,,8.8 MB,,,,,,
992,Geometry Dash Lite,,RobTop Games AB,#5 in Music,4+,4.3,Free,104.6K Ratings,,147.5 MB,,,,,,
993,Crazy Hospital: Doctor Dash,hospital simulator game,Smart Fun Limited,#22 in Simulation,4+,4.7,Free,10.7K Ratings,,255.8 MB,,,,,,
994,Mob Control,Multiply your Crowd‪!‬,Voodoo,#9 in Casual,12+,4.4,Free,97.5K Ratings,,268.8 MB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Medical/Treatment Information
995,TMNT: Portal Power,Ninja Turtles street fighter‪!‬,Viacom International Inc.,#55 in Casual,9+,4.4,Free,183 Ratings,,633.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
996,Convenience Stories,,"Kairosoft Co.,Ltd",#50 in Casual,4+,4.8,$3.99,623 Ratings,,292.5 MB,,,,,,
997,Ready Steady Bang,,Cowboy Games Limited,#84 in Casual,9+,4.4,$1.99,197 Ratings,Offers In-App Purchases,20.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
998,The Real Juggle: Football 2022,Kick Ball & Do Soccer Juggling,Lion Studios LLC,#11 in Sports,12+,4.7,Free,160.1K Ratings,Offers In-App Purchases,261.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity
999,Cytus II,Can you hear me‪?‬,Rayark International Limited,#7 in Music,12+,4.8,$2.99,8.7K Ratings,,3.9 GB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Realistic Violence,Infrequent/Mild Profanity or Crude Humor,,,
1000,Coin Master,Attack and Raid your Friends‪!‬,Moon Active LTD,#5 in Adventure,17+,4.7,Free,566.7K Ratings,Offers In-App Purchases,260.1 MB,Frequent/Intense Simulated Gambling,,,,,
1001,Ice Fishing Derby Premium,,Paul Halter,#20 in Sports,4+,4.7,$1.99,37 Ratings,,31.8 MB,,,,,,
1002,Bowmasters - Multiplayer Game,Join the top archery arcade,Playgendary Limited,#25 in Action,12+,4.5,Free,1.9M Ratings,Offers In-App Purchases,605.4 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Horror/Fear Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",
1003,KOF 2002 ACA NEOGEO,now available in the app‪!‬,SNK CORPORATION,#10 in Casual,12+,3.4,$2.99,57 Ratings,,209.6 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,
1004,Find Diamonds! Minecraft Ores,Find diamonds in Minecraft‪!‬,Elad Apps Pty. Ltd.,#19 in Adventure,4+,4.5,$2.99,14.4K Ratings,Offers In-App Purchases,56.4 MB,,,,,,
1005,Forest Camp Story,,"Kairosoft Co.,Ltd",#61 in Casual,4+,4.5,Free,88 Ratings,Offers In-App Purchases,274.7 MB,,,,,,
1006,Clusterduck,Breed weird and wacky ducks,Prodigy Design Limited T/A Sidhe Interactive,#79 in Casual,4+,4.8,$1.99,94.5K Ratings,,208.7 MB,,,,,,
1007,Tubesnake,,Viktor Hesselbom,#9 in Racing,4+,4.8,$0.99,4 Ratings,Offers In-App Purchases,5.7 MB,,,,,,
1008,Tiny Wings,A dream of flying,Andreas Illiger,#4 in Casual,4+,4.8,$1.99,9.3K Ratings,,29.1 MB,,,,,,
1009,Dice Dreams‪™‬,Roll & Attack to Collect Coins,SuperPlay LTD,#20 in Board,4+,4.9,Free,107.3K Ratings,Offers In-App Purchases,288.4 MB,,,,,,
1010,Traffic Cop 3D,Police! Pull over‪!‬,Kwalee Ltd,#27 in Simulation,12+,4.6,Free,113.9K Ratings,Offers In-App Purchases,292.1 MB,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence
1011,Paper Fold,Fold to Unfold,Good Job Games Bilisim Yazilim ve Pazarlama AS,#35 in Puzzle,12+,4.5,Free,266.8K Ratings,Offers In-App Purchases,224.6 MB,Infrequent/Mild Mature/Suggestive Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Realistic Violence
1012,Beatstar,Touch Your Music,Space Ape Ltd,#3 in Music,9+,4.8,Free,224.4K Ratings,,401.4 MB,Infrequent/Mild Mature/Suggestive Themes,,,,,
1013,"Please, Touch The Artwork",Cozy Artful Puzzler,Meynen Studio BVBA,#17 in Casual,4+,4.4,Free,13 Ratings,,321.2 MB,,,,,,
1014,Ball Sort Puzzle,Fun Game To Play On Christmas,IEC GLOBAL PTY LTD,#55 in Puzzle,12+,4.7,Free,239.8K Ratings,,156.2 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Sexual Content and Nudity,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Simulated Gambling
1015,Growing Up: Life of the '90s,Teenager School Life Simulator,LITTORAL GAMES PTE. LTD.,#43 in Casual,12+,4.7,Free,542 Ratings,,1.1 GB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,,,
1016,Cats & Soup,Relaxing Cat Game,"HIDEA Co.,Ltd",#39 in Simulation,12+,4.9,Free,183.5K Ratings,,546 MB,Infrequent/Mild Sexual Content and Nudity,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes,,,
1017,Eatventure,,Lessmore UG haftungsbeschraenkt,#21 in Simulation,12+,4.7,Free,13.8K Ratings,,272.5 MB,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Simulated Gambling,Infrequent/Mild Medical/Treatment Information
1018,Kick the Buddy,THE BEST STRESS RELIEF EVER‪.‬,Playgendary Limited,#15 in Action,12+,4.6,Free,1M Ratings,,220.1 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Profanity or Crude Humor,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Cartoon or Fantasy Violence,
1019,Temple Run,The original endless runner‪!‬,"Imangi Studios, LLC",#45 in Action,9+,4.4,Free,303K Ratings,,181 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
1020,THE KING OF FIGHTERS '98,,SNK CORPORATION,#68 in Casual,12+,3.8,Free,612 Ratings,,130.1 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,,
1021,Backflip Madness,Extreme sports backflip game,Hubert Sliwka,#14 in Sports,9+,4.5,Free,12.7K Ratings,,18.6 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
